data;id;command
2021-04-02;330804499;Наши стикеры
2021-04-02;330804499;Наши стикеры
2021-04-02;330804499;Наши стикеры
2021-04-02;330804499;Ссылки
2021-04-02;330804499;О нас
2021-04-02;330804499;О нас
2021-04-02;330804499;О нас
2021-04-02;330804499;О нас
2021-04-02;330804499;Наша музыка
2021-04-02;330804499;Наша музыка
2021-04-02;330804499;Последняя новость группы
2021-04-02;330804499;Последняя новость группы
2021-04-02;330804499;Последняя новость группы
2021-04-02;330804499;Последняя новость группы
2021-04-02;330804499;Последняя новость группы
2021-04-02;330804499;/by
2021-04-02;330804499;/by
2021-04-02;330804499;/start
2021-04-02;330804499;/start
2021-04-02;330804499;/by
